src_index,src_x,src_y,tgt_x,tgt_y,dist_to_hole_px,matched
205,480.5,227.88888888888889,104.05787190481223,640.6010629887967,45.854023,False
206,523.5,227.88888888888889,112.75460148159422,605.7203866629728,21.494503,False
207,567.0,227.91044776119404,121.56994537240504,570.4384817126002,0.0,True
208,610.5,227.88888888888889,130.35031016019954,535.14785549212,0.0,True
209,653.5,227.88888888888889,139.04703973698142,500.26717916629616,0.0,True
210,696.5,227.88888888888889,147.7437693137634,465.3865028404723,0.0,True
211,740.0,227.91044776119404,156.55911320457423,430.1045978900996,0.0,True
212,783.5,227.88888888888889,165.33947799236873,394.8139716696194,0.0,True
213,826.5,227.88888888888889,174.03620756915072,359.93329534379563,0.0,True
214,869.5,227.88888888888889,182.7329371459326,325.0526190179718,0.0,True
215,913.0,227.91044776119404,191.54828103674342,289.7707140675991,0.0,True
216,956.5,227.88888888888889,200.32864582453792,254.48008784711888,0.0,True
217,999.5,227.88888888888889,209.0253754013199,219.59941152129502,0.0,True
218,1042.5,227.88888888888889,217.72210497810178,184.71873519547123,0.0,True
219,1086.0,227.91044776119404,226.5374488689126,149.43683024509855,0.0,True
220,1129.5,227.88888888888889,235.3178136567071,114.14620402461836,0.0,True
221,1172.5,227.88888888888889,244.01454323348898,79.2655276987945,23.3694,False
222,1216.0,227.91044776119404,252.82988712429992,43.98362274842182,53.48004,False
223,459.0,243.05882352941177,112.01503425704445,661.109513731926,58.936115,False
224,502.0,243.05882352941177,120.71176383382644,626.2288374061021,23.404503,False
225,588.4814814814815,242.96296296296296,138.1248513222682,556.0575103759701,0.0,True
226,675.5185185185185,242.96296296296296,155.72804066567912,485.45497589807144,0.0,True
227,805.0,243.05882352941177,181.99336992138282,380.4417460869248,0.0,True
228,848.5185185185185,242.96296296296296,190.7172084978483,345.1210920755709,0.0,True
229,891.5185185185185,242.96296296296296,199.41393807463018,310.24041574974706,0.0,True
230,1064.5,242.92857142857142,234.3714664596766,169.9145775500467,0.0,True
231,1194.5185185185185,242.96296296296296,260.6955565065181,64.4532749201621,37.2801,False
232,545.48,243.36,129.7498783390716,591.019724337498,0.0,True
233,632.0,243.38709677419354,147.27049381684705,520.842023895658,0.0,True
234,718.48,243.36,164.7390461712408,450.6858405149974,0.0,True
235,761.52,243.36,173.4438736293965,415.7726853617445,0.0,True
236,934.52,243.36,208.4330414615657,275.43880153924397,0.0,True
237,978.0,243.38709677419354,217.2488294811853,240.17425625065695,0.0,True
238,1021.48,243.36,226.0206522587973,204.89874919582016,0.0,True
239,1107.52,243.36,243.42220929373488,135.10491771674336,0.0,True
240,1151.0,243.38709677419354,252.2379973133545,99.84037242815637,0.0,True
241,1237.5,243.23076923076923,269.6057726978038,29.64181359820421,66.54103,False
242,480.5,254.76923076923077,125.86262676912301,646.0375991032797,38.8109,False
243,523.52,254.64,134.45857937596028,611.1145473281642,4.775,True
244,567.0,254.61290322580646,143.23040215357227,575.8390402733274,0.0,True
245,610.5185185185185,255.03703703703704,152.376044648151,540.6235537930154,0.0,True
246,653.5,254.76923076923077,160.8517946012922,505.7037152807791,0.0,True
247,696.4814814814815,255.03703703703704,169.76202313690928,470.8922044484135,0.0,True
248,740.0,254.61290322580646,178.21956998574146,435.5051564508269,0.0,True
249,783.48,254.64,187.03535800536108,400.2406111622398,0.0,True
250,826.52,254.64,195.74018546351667,365.3274560089869,0.0,True
251,869.52,254.64,204.43691504029866,330.4467796831631,0.0,True
252,913.0,254.61290322580646,213.20873781791065,295.1712726283263,0.0,True
253,956.48,254.64,222.02452583753026,259.9067273397394,0.0,True
254,999.4814814814815,255.03703703703704,231.04362922446566,225.10511312923617,0.0,True
255,1042.4814814814815,255.03703703703704,239.74034645691628,190.22448631382005,0.0,True
256,1086.0,254.61290322580646,248.19790565007983,154.83738880582578,0.0,True
257,1129.5185185185185,255.03703703703704,257.34356048898997,119.62185281510605,0.0,True
258,1172.4814814814815,255.03703703703704,266.0327847123036,84.77127881714333,18.7208,False
259,1216.0,254.94117647058823,274.7566356331005,49.4505752953817,46.32451,False
260,1259.0,254.61290322580646,283.18707348224905,14.5035049833252,75.48017,False
261,459.0,270.089552238806,133.94177038824304,666.576463192803,55.551537,False
262,502.0,270.089552238806,142.63849996502503,631.6957868669791,20.539503,False
263,545.5,270.1111111111111,151.45385623343768,596.4138850026893,0.0,True
264,588.5,270.1111111111111,160.15058581021967,561.5332086768655,0.0,True
265,632.0,270.089552238806,168.93093822041223,526.2425793703025,0.0,True
266,675.5,270.1111111111111,177.74629448882487,490.96067750601264,0.0,True
267,718.5,270.1111111111111,186.44302406560686,456.0800011801888,0.0,True
268,761.5,270.1111111111111,195.13975364238885,421.19932485436493,0.0,True
269,805.0,270.089552238806,203.92010605258142,385.9086955478018,0.0,True
270,848.5,270.1111111111111,212.73546232099406,350.626793683512,0.0,True
271,891.5,270.1111111111111,221.43219189777605,315.74611735768815,0.0,True
272,934.5,270.1111111111111,230.12892147455804,280.8654410318644,0.0,True
273,978.0,270.089552238806,238.9092738847506,245.57481172530132,0.0,True
274,1021.5,270.1111111111111,247.72463015316325,210.2929098610115,0.0,True
275,1064.5,270.1111111111111,256.42135972994527,175.41223353518765,0.0,True
276,1107.5,270.1111111111111,265.11808930672726,140.53155720936383,0.0,True
277,1151.0,270.089552238806,273.8984417169198,105.24092790280079,0.0,True
278,1194.5,270.1111111111111,282.71379798533246,69.95902603851098,22.9551,False
279,1237.5,270.1111111111111,291.41052756211445,35.07834971268713,53.48004,False
280,1280.5,273.0,302.4506589993555,0.7819491067423598,90.50739,False
281,437.48,284.36,141.16524271657326,686.9192070970726,72.99438,False
282,480.5,284.2307692307692,149.76120152884673,651.9961831632438,36.613003,False
283,523.52,284.36,158.56679357934522,617.1254003731996,0.0,True
284,567.0,284.38709677419354,167.38258159896495,581.8608550846127,0.0,True
285,610.5185185185185,283.962962962963,175.840128447797,546.473807087026,0.0,True
286,653.5,284.2307692307692,184.7503693610159,511.6622993407433,0.0,True
287,696.4814814814815,283.962962962963,193.22610693655528,476.7424577424241,0.0,True
288,740.0,284.05882352941177,202.10548245870447,441.4605834480451,0.0,True
289,783.48,284.36,211.143572208746,406.25146420727526,0.0,True
290,826.52,284.36,219.8483996669016,371.33830905402226,0.0,True
291,869.52,284.36,228.5451292436836,336.4576327281985,0.0,True
292,913.0,284.38709677419354,237.3609172633032,301.19308743961153,0.0,True
293,956.5185185185185,283.962962962963,245.81846411213527,265.80603944202494,0.0,True
294,999.4814814814815,283.962962962963,254.50771302411167,230.9553664232469,0.0,True
295,1042.52,284.36,263.5342970758528,196.12374890569797,0.0,True
296,1086.0,284.38709677419354,272.3500850954724,160.85920361711098,0.0,True
297,1129.48,284.36,281.1219078730844,125.58369656227418,0.0,True
298,1172.4814814814815,283.962962962963,289.4968685119495,90.62153211115398,0.955,True
299,1216.0,284.05882352941177,298.3762563784302,55.339608306367296,37.2801,False
300,1259.0,284.38709677419354,307.3392529276416,20.525319794610397,71.62508,False
301,459.0,296.61290322580646,155.45696363331726,671.9408034853129,53.641533,False
302,502.0,296.61290322580646,164.15369321009914,637.0601271594892,18.5593,False
303,545.48,296.64,172.96948122971875,601.7955818709022,0.0,True
304,588.4814814814815,297.037037037037,181.98858461665426,566.993967660399,0.0,True
305,632.0,296.94117647058823,190.712398437916,531.6733074768794,0.0,True
306,675.5185185185185,297.037037037037,199.59177396006518,496.39143318250035,0.0,True
307,718.48,296.64,207.95864906188794,461.46169804840156,0.0,True
308,761.52,296.64,216.66347652004364,426.54854289514867,0.0,True
309,805.0,296.94117647058823,225.70156627008518,391.33942365437883,0.0,True
310,848.5185185185185,297.037037037037,234.58094179223437,356.0575493599997,0.0,True
311,891.5185185185185,297.037037037037,243.27767136901625,321.17687303417597,0.0,True
312,934.4814814814815,297.037037037037,251.96692028099264,286.32620001539794,0.0,True
313,978.0,296.61290322580646,260.42446712982485,250.93915201781132,0.0,True
314,1021.48,296.64,269.24025514944447,215.67460672922434,0.0,True
315,1064.5,297.07142857142856,278.29099798350273,180.86494689592095,0.0,True
316,1107.52,296.64,286.64181218438205,145.88077525014748,0.0,True
317,1151.0,296.94117647058823,295.67990193442347,110.6716560093777,0.0,True
318,1194.5185185185185,297.037037037037,304.55928980090414,75.38973220459101,20.8836,False
319,1237.5,297.07142857142856,313.2801658156719,40.53106307342048,52.52504,False
320,1280.4814814814815,297.037037037037,321.9452436009997,5.65848188080443,89.678795,False
321,437.5,310.8888888888889,162.68895942206242,692.26844989306,70.670074,False
322,480.5,310.8888888888889,171.38568899884442,657.3877735672363,35.243702,False
323,523.5,310.8888888888889,180.0824185756263,622.5070972414125,0.0,True
324,567.0,310.910447761194,188.89777484403905,587.2251953771226,0.0,True
325,610.5,310.8888888888889,197.6781272542316,551.9345660705595,0.0,True
326,653.5,310.8888888888889,206.3748568310136,517.0538897447357,0.0,True
327,696.5,310.8888888888889,215.07158640779548,482.1732134189119,0.0,True
328,740.0,310.910447761194,223.88694267620824,446.891311554622,0.0,True
329,783.5,310.8888888888889,232.6672950864008,411.600682248059,0.0,True
330,826.5,310.8888888888889,241.36402466318268,376.72000592223515,0.0,True
331,869.5,310.8888888888889,250.06075423996467,341.8393295964113,0.0,True
332,913.0,310.910447761194,258.87611050837745,306.5574277321215,0.0,True
333,956.5,310.8888888888889,267.65646291857,271.2667984255585,0.0,True
334,999.5,310.8888888888889,276.353192495352,236.3861220997346,0.0,True
335,1042.5,310.8888888888889,285.0499220721339,201.50544577391074,0.0,True
336,1086.0,310.910447761194,293.86527834054664,166.22354390962093,0.0,True
337,1129.5,310.8888888888889,302.6456307507392,130.93291460305787,0.0,True
338,1172.5,310.8888888888889,311.3423603275211,96.05223827723401,0.0,True
339,1216.0,310.910447761194,320.15771659593383,60.77033641294426,36.3251,False
340,1259.0,310.910447761194,328.8544461727158,25.889660087120404,72.86797,False
341,415.52,326.36,170.79333650932264,713.227185254306,88.72379,False
342,459.0,326.38709677419354,179.609130701108,677.9626152105154,51.570038,False
343,502.0,326.38709677419354,188.30586027788988,643.0819388846915,19.170202,False
344,545.48,326.36,197.07768305550175,607.8064318298547,0.0,True
345,588.4814814814815,325.962962962963,205.45265603869834,572.8442178683268,0.0,True
346,632.0,326.38709677419354,214.5982985332772,537.6287313880148,0.0,True
347,675.5185185185185,325.962962962963,223.05584538210925,502.2416833904281,0.0,True
348,718.5185185185185,325.962962962963,231.75257495889113,467.36100706460434,0.0,True
349,761.52,326.36,240.77167834582664,432.55939285410125,0.0,True
350,805.0,326.38709677419354,249.58746636544637,397.29484756551415,0.0,True
351,848.48,326.36,258.3592891430583,362.01934051067747,0.0,True
352,891.48,326.36,267.05601871984015,327.1386641848536,0.0,True
353,934.52,326.36,275.76084617799586,292.2255090316006,0.0,True
354,978.0,326.38709677419354,284.5766341976155,256.9609637430136,0.0,True
355,1021.5185185185185,325.962962962963,293.03418104644766,221.57391574542706,0.0,True
356,1064.5,326.2307692307692,301.94442195966656,186.7624079991443,0.0,True
357,1107.52,326.36,310.75001401016505,151.89162520910006,0.0,True
358,1151.0,326.38709677419354,319.56580202978466,116.62707992051313,0.0,True
359,1194.5185185185185,325.962962962963,328.0233612229482,81.23998241251886,20.539503,False
360,1237.5,325.92857142857144,336.68843900827596,46.36740121990286,53.767937,False
361,1280.52,326.36,345.73918184233423,11.557741386599588,89.96669,False
362,437.5,338.0,184.68091313775957,697.7516599244242,71.91297,False
363,480.5,338.2,193.5398883204641,662.9114359724749,35.243702,False
364,523.5,338.0,202.07437229132344,627.9903072727766,0.0,True
365,567.0,338.0,210.87222663062605,592.7040416873501,0.0,True
366,610.3793103448276,338.1034482758621,219.72959636781977,557.5365818195393,0.0,True
367,653.5,338.0,228.36681054671064,522.5370997760998,0.0,True
368,696.6206896551724,338.1034482758621,237.17186500759053,487.57946501597894,0.0,True
369,740.0,337.94117647058823,245.8136664298049,452.35825792941625,0.0,True
370,783.3793103448276,338.1034482758621,254.71876419998895,417.20269799703874,0.0,True
371,826.5,338.0,263.35597837887985,382.2032159535993,0.0,True
372,869.5,338.0,272.05270795566184,347.3225396277754,0.0,True
373,913.0,337.94117647058823,280.8028342619741,312.0243741069156,0.0,True
374,956.3793103448276,338.1034482758621,289.70793203215817,276.8688141745381,0.0,True
375,999.6206896551724,338.1034482758621,298.45347109514694,241.7923736968016,0.0,True
376,1042.5,338.0,307.04187578783103,206.98865580527487,0.0,True
377,1086.0,337.94117647058823,315.7920020941433,171.69049028441512,0.0,True
378,1129.5,338.0,324.63758446643635,136.416124634422,0.0,True
379,1172.6206896551723,338.1034482758621,333.4426512716475,101.45844036389346,0.0,True
380,1216.0,338.0,342.13216838252094,66.24918272317174,36.739403,False
381,1259.0,337.94117647058823,350.7811699263125,31.356606461914538,73.89315,False
382,1302.3793103448277,338.1034482758621,359.6862553521652,-3.7989039600552417,inf,False
383,415.5,349.5,189.5599765577077,717.9234568849154,89.42599,False
384,459.0,353.0,201.19695571422866,683.3450646371339,51.443634,False
385,502.0,353.0,209.89368529101054,648.4643883113101,18.8472,False
386,545.5,349.5,215.852414813095,612.4702493882386,0.0,True
387,588.5,349.5,224.5491443898769,577.5895730624147,0.0,True
388,632.0,353.0,236.18612354639774,543.0111808146333,0.0,True
389,675.5,349.5,242.1448530684822,507.0170418915619,0.0,True
390,718.5,349.5,250.8415826452642,472.13636556573806,0.0,True
391,761.5,349.5,259.5383122220461,437.2556892399142,0.0,True
392,805.0,353.0,271.17529137856695,402.6772969921328,0.0,True
393,848.5,349.5,277.1340209006514,366.6831580690613,0.0,True
394,891.5,349.5,285.8307504774334,331.8024817432374,0.0,True
395,934.5,349.5,294.5274800542153,296.9218054174137,0.0,True
396,978.0,353.0,306.16445921073614,262.3434131696322,0.0,True
397,1021.5,349.5,312.1231887328206,226.34927424656078,0.0,True
398,1064.5,349.5,320.8199183096025,191.46859792073693,0.0,True
399,1107.5,349.5,329.5166478863845,156.58792159491313,0.0,True
400,1151.0,353.0,341.1536270429053,122.00952934713169,0.0,True
401,1194.5,349.5,347.1123565649898,86.01539042406026,19.710901,False
402,1237.5,349.5,355.8090861417718,51.1347140982364,53.48004,False
403,1280.5,349.5,364.50581571855366,16.254037772412545,89.8052,False
404,415.5,356.5,195.2382261921442,719.3392035602053,88.309494,False
405,545.5,356.5,221.5306644475314,613.8859960635286,0.0,True
406,588.5,356.5,230.22739402431338,579.0053197377049,0.0,True
407,675.5,356.5,247.8231027029186,508.43278856685197,0.0,True
408,718.5,356.5,256.5198322797006,473.5521122410281,0.0,True
409,761.5,356.5,265.2165618564826,438.67143591520426,0.0,True
410,848.5,356.5,282.8122705350878,368.09890474435144,0.0,True
411,891.5,356.5,291.5090001118698,333.2182284185276,0.0,True
412,934.5,356.5,300.2057296886518,298.33755209270373,0.0,True
413,1021.5,356.5,317.801438367257,227.7650209218509,0.0,True
414,1064.5,356.5,326.498167944039,192.88434459602703,0.0,True
415,1107.5,356.5,335.194897520821,158.00366827020318,0.0,True
416,1194.5,356.5,352.7906061994262,87.43113709935031,19.9286,False
417,1237.5,356.5,361.48733577620817,52.55046077352645,52.812935,False
418,1280.5,356.5,370.18406535299016,17.669784447702597,89.20827,False
419,437.5,368.0,209.01626871391576,703.8191456756674,71.91297,False
420,480.5,368.0,217.71299829069764,668.9384693498437,35.7844,False
421,523.5,368.0,226.40972786747963,634.0577930240197,0.0,True
422,567.0,368.05882352941177,235.25531023977257,598.7834273740267,0.0,True
423,610.5,368.0,244.00543654608495,563.4852618531669,0.0,True
424,653.5,367.8,252.5399205169443,528.5641331534684,0.0,True
425,696.5,368.0,261.39889569964885,493.7239092015192,0.0,True
426,740.0,368.0,270.19675003895145,458.4376436160928,0.0,True
427,783.3793103448276,367.8965517241379,278.88627949415616,423.2283364649634,0.0,True
428,826.6206896551724,367.8965517241379,287.63181855714504,388.1518959872269,0.0,True
429,869.6206896551724,367.8965517241379,296.32854813392703,353.27121966140305,0.0,True
430,913.0,368.05882352941177,305.233645904111,318.11565972902554,0.0,True
431,956.5,368.0,313.98377221042335,282.8174942081657,0.0,True
432,999.5,368.0,322.68050178720523,247.93681788234196,0.0,True
433,1042.5,368.0,331.3772313639872,213.0561415565181,0.0,True
434,1086.0,368.05882352941177,340.22281373628016,177.78177590652498,0.0,True
435,1129.5,368.0,348.9729400425924,142.48361038566523,0.0,True
436,1172.6206896551723,367.8965517241379,357.6101665658148,107.48407883181815,0.0,True
437,1216.0,368.05882352941177,366.51525199166747,72.32856840984832,37.1537,False
438,1259.0,368.05882352941177,375.21198156844935,37.44789208402446,68.99174,False
439,1302.3793103448277,367.8965517241379,383.85377064633246,2.226734507869452,98.68811,False
440,415.48148148148147,380.037037037037,214.3272277063514,724.1145868165429,inf,False
441,459.0,379.61290322580646,222.78478072734933,688.7275140637526,52.812935,False
442,502.0,379.61290322580646,231.4815103041312,653.8468377379287,18.5593,False
443,545.48,379.64,240.29729832375082,618.5822924493417,0.0,True
444,588.4814814814815,380.037037037037,249.31640171068634,583.7806782388385,0.0,True
445,632.0,379.61290322580646,257.77394855951843,548.3936302412519,0.0,True
446,675.5185185185185,380.037037037037,266.9195910540973,513.1781437609399,0.0,True
447,718.5185185185185,380.037037037037,275.61632063087916,478.297467435116,0.0,True
448,761.4814814814815,380.037037037037,284.30556954285555,443.446794416338,0.0,True
449,805.0,379.61290322580646,292.7631163916876,408.0597464187514,0.0,True
450,848.48,379.64,301.57890441130724,372.7952011301644,0.0,True
451,891.48,379.64,310.2756339880892,337.91452480434054,0.0,True
452,934.4814814814815,380.037037037037,319.29473737502474,303.11291059383746,0.0,True
453,978.0,379.94117647058823,328.01855119628635,267.7922504103178,0.0,True
454,1021.5185185185185,380.037037037037,336.89792671843566,232.51037611593878,0.0,True
455,1064.5,379.7692307692308,345.3736642939749,197.5905345176196,0.0,True
456,1107.4814814814815,380.037037037037,354.28389286286256,162.77907628174452,0.0,True
457,1151.0,379.61290322580646,362.741452056026,127.39197877375031,0.0,True
458,1194.5185185185185,380.037037037037,371.8871068949362,92.17644278303058,19.2615,False
459,1237.5,380.07142857142856,380.607982909704,57.317773651859994,47.405907,False
460,1280.4814814814815,380.037037037037,389.27306069503175,22.445192459243998,77.51658,False
461,394.0,395.089552238806,222.19286616120016,744.5842575713214,inf,False
462,437.5,395.1111111111111,231.0082224296128,709.3023557070316,71.08437,False
463,480.5,395.1111111111111,239.7049520063948,674.4216793812077,34.5415,False
464,523.5,395.1111111111111,248.40168158317667,639.541003055384,0.0,True
465,567.0,395.089552238806,257.1820339933694,604.2503737488208,0.0,True
466,610.5,395.1111111111111,265.997390261782,568.968471884531,0.0,True
467,653.5,395.1111111111111,274.694119838564,534.0877955587072,0.0,True
468,696.5,395.1111111111111,283.3908494153459,499.2071192328833,0.0,True
469,740.0,395.089552238806,292.17120182553856,463.9164899263203,0.0,True
470,783.5,395.1111111111111,300.9865580939512,428.6345880620305,0.0,True
471,826.5,395.1111111111111,309.6832876707332,393.75391173620665,0.0,True
472,869.5,395.1111111111111,318.38001724751507,358.8732354103828,0.0,True
473,913.0,395.089552238806,327.16036965770775,323.5826061038198,0.0,True
474,956.5,395.1111111111111,335.9757259261204,288.30070423952986,0.0,True
475,999.5,395.1111111111111,344.6724555029024,253.4200279137061,0.0,True
476,1042.5,395.1111111111111,353.36918507968426,218.53935158788224,0.0,True
477,1086.0,395.089552238806,362.14953748987693,183.24872228131917,0.0,True
478,1129.5,395.1111111111111,370.9648937582896,147.96682041702937,0.0,True
479,1172.5,395.1111111111111,379.66162333507157,113.08614409120551,0.0,True
480,1216.0,395.089552238806,388.44197574526413,77.7955147846425,24.4508,False
481,1259.0,395.089552238806,397.138705322046,42.91483845881865,56.632942,False
482,1302.5,395.1111111111111,405.95406159045876,7.632936594528843,93.21091,False
483,459.0,409.05882352941177,246.6706808227104,694.6829379748879,52.52504,False
484,502.0,409.05882352941177,255.3674103994924,659.8022616490641,20.125202,False
485,545.5185185185185,408.962962962963,264.09122422075404,624.4816014655444,0.0,True
486,632.0,409.05882352941177,281.6598486548796,554.3490541523873,0.0,True
487,761.4814814814815,408.962962962963,307.7696409648996,449.2970446242658,0.0,True
488,805.0,409.05882352941177,316.6490164870488,414.0151703298868,0.0,True
489,848.5185185185185,408.962962962963,325.37283030831054,378.6945101463672,0.0,True
490,891.5185185185185,408.962962962963,334.0695598850924,343.8138338205433,0.955,True
491,934.4814814814815,408.962962962963,342.7588087970688,308.9631608017653,0.955,True
492,1064.5,408.92857142857144,369.02708827013885,203.48799562084295,0.0,True
493,1107.4814814814815,408.962962962963,377.74796428490663,168.62932648967237,0.0,True
494,1151.0,409.05882352941177,386.6273521513872,133.3474026848857,0.0,True
495,1324.0,409.05882352941177,421.6165199835564,-6.986481137614845,inf,False
496,415.52,409.36,238.1211536033547,730.0138958327457,inf,False
497,588.52,409.36,273.11032760768956,589.6799872550413,0.0,True
498,675.48,409.36,290.69793840492116,519.1399349116175,0.0,True
499,718.48,409.36,299.39466798170304,484.25925858579365,0.0,True
500,978.0,409.38709677419354,351.90445129164755,273.74767432145325,0.0,True
501,1021.48,409.36,360.67627406925953,238.47216726661642,0.0,True
502,1194.48,409.36,395.6654419014287,98.13828344411584,3.6936,True
503,1237.5,409.2307692307692,404.2614068858678,63.21523475508329,40.433002,False
504,1280.52,409.36,413.0669989363663,28.3444519650391,71.62508,False
505,394.0,421.1666666666667,243.34606406062184,749.8583422850752,inf,False
506,437.35483870967744,421.35483870967744,252.2671979946144,714.7278947778734,72.86797,False
507,480.5,421.25,260.9082544383749,679.7082565583003,36.739403,False
508,523.5,421.0,269.4021893853554,644.7770178512161,0.0,True
509,567.0,421.1666666666667,278.33523189279106,609.5244584625747,0.0,True
510,610.5,421.0,286.99789806396086,574.2044866803633,0.0,True
511,653.5,421.8333333333333,296.37061799181504,539.4923536827957,0.0,True
512,696.6451612903226,421.35483870967744,304.7085407924727,504.3971620496603,0.0,True
513,740.0,421.0,313.18921155682733,469.1568684432891,0.0,True
514,783.5,421.0,321.98706589613005,433.87060285786265,0.0,True
515,826.5,421.0,330.6837954729119,398.9899265320388,0.0,True
516,869.5,421.0,339.3805250496939,364.10925020621494,0.0,True
517,913.0,421.0,348.1783793889965,328.8229846207886,0.0,True
518,956.5,421.0,356.97623372829923,293.5367190353621,0.0,True
519,999.5,421.0,365.6729633050811,258.65604270953827,0.0,True
520,1042.6451612903227,421.35483870967744,374.6868764568111,223.72939440465913,0.0,True
521,1086.0,421.0,383.1675472211657,188.48910079828804,0.0,True
522,1129.3548387096773,421.35483870967744,392.2238754954568,153.39233473266736,0.0,True
523,1172.5,421.0,400.6621311372503,118.32215888703772,0.0,True
524,1216.0,421.1666666666667,409.59517364468593,83.06959949839634,19.9286,False
525,1259.0,421.1666666666667,418.2919032214678,48.18892317257249,52.52504,False
526,1302.5,421.0,426.9545693926375,12.868951390361048,89.678795,False
527,415.5,432.5,256.8877936517398,734.7101674633549,inf,False
528,459.0,436.0,268.52477280826065,700.1317752155735,52.52504,False
